timestamp,ip,user,event_type,severity
2026-04-08 17:53:30,8.8.8.8,admin,FAILED_LOGIN,MEDIUM
2026-04-08 17:53:30,8.8.8.8,admin,FAILED_LOGIN,MEDIUM
2026-04-08 17:53:30,8.8.8.8,admin,FAILED_LOGIN,HIGH
2026-04-08 17:53:30,8.8.8.8,admin,BRUTE_FORCE,HIGH
2026-04-08 17:53:30,5.5.5.5,hacker,INVALID_USER,MEDIUM
2026-04-08 17:59:05,8.8.8.8,admin,FAILED_LOGIN,MEDIUM
2026-04-08 17:59:05,8.8.8.8,admin,FAILED_LOGIN,MEDIUM
2026-04-08 17:59:05,8.8.8.8,admin,FAILED_LOGIN,HIGH
2026-04-08 17:59:05,8.8.8.8,admin,BRUTE_FORCE,HIGH
2026-04-08 17:59:05,5.5.5.5,hacker,INVALID_USER,MEDIUM
2026-04-08 17:59:05,8.8.8.8,admin,FAILED_LOGIN,MEDIUM
2026-04-08 17:59:05,8.8.8.8,admin,FAILED_LOGIN,MEDIUM
2026-04-08 17:59:05,8.8.8.8,admin,FAILED_LOGIN,HIGH
2026-04-08 17:59:05,8.8.8.8,admin,BRUTE_FORCE,HIGH
2026-04-08 17:59:05,5.5.5.5,hacker,INVALID_USER,MEDIUM
2026-04-08 17:59:05,8.8.8.8,admin,FAILED_LOGIN,MEDIUM
2026-04-08 17:59:05,8.8.8.8,admin,FAILED_LOGIN,MEDIUM
2026-04-08 17:59:05,8.8.8.8,admin,FAILED_LOGIN,HIGH
2026-04-08 17:59:05,8.8.8.8,admin,BRUTE_FORCE,HIGH
2026-04-08 17:59:05,5.5.5.5,hacker,INVALID_USER,MEDIUM
2026-04-08 17:59:51,8.8.8.8,admin,FAILED_LOGIN,HIGH
2026-04-08 17:59:51,8.8.8.8,admin,BRUTE_FORCE,HIGH
2026-04-08 17:59:51,8.8.8.8,admin,FAILED_LOGIN,CRITICAL
2026-04-08 17:59:51,8.8.8.8,admin,BRUTE_FORCE,CRITICAL
2026-04-08 17:59:51,8.8.8.8,admin,FAILED_LOGIN,CRITICAL
2026-04-08 17:59:51,8.8.8.8,admin,BRUTE_FORCE,CRITICAL
2026-04-08 17:59:51,5.5.5.5,hacker,INVALID_USER,MEDIUM
2026-04-08 17:59:51,8.8.8.8,admin,FAILED_LOGIN,HIGH
2026-04-08 17:59:51,8.8.8.8,admin,BRUTE_FORCE,HIGH
2026-04-08 17:59:51,8.8.8.8,admin,FAILED_LOGIN,CRITICAL
2026-04-08 17:59:51,8.8.8.8,admin,BRUTE_FORCE,CRITICAL
2026-04-08 17:59:51,8.8.8.8,admin,FAILED_LOGIN,CRITICAL
2026-04-08 17:59:51,8.8.8.8,admin,BRUTE_FORCE,CRITICAL
2026-04-08 17:59:51,5.5.5.5,hacker,INVALID_USER,MEDIUM
2026-04-08 17:59:51,8.8.8.8,admin,FAILED_LOGIN,HIGH
2026-04-08 17:59:51,8.8.8.8,admin,BRUTE_FORCE,HIGH
2026-04-08 17:59:51,8.8.8.8,admin,FAILED_LOGIN,CRITICAL
2026-04-08 17:59:51,8.8.8.8,admin,BRUTE_FORCE,CRITICAL
2026-04-08 17:59:51,8.8.8.8,admin,FAILED_LOGIN,CRITICAL
2026-04-08 17:59:51,8.8.8.8,admin,BRUTE_FORCE,CRITICAL
2026-04-08 17:59:51,5.5.5.5,hacker,INVALID_USER,MEDIUM
